keyword,lang,cid,main_img,post_sj,sumry,com_ctgry_sn,lang_code_id,traffic_adres,traffic_new_adres
자연관광,en,ENPylc4hg,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81842&fileTy=MEDIA&fileNo=1&thumbTy=M,Choansan Hydrangea Hill,"An ecological garden in the city center where about 10,000 colorful hydrangeas, walking trails, and ecological ponds harmonize.
",Cp3b3j9,en,"9 Wolgye-ro 45ga-gil, Nowon-gu, Seoul","9 Wolgye-ro 45ga-gil, Nowon-gu, Seoul"
자연관광,en,ENPtte3ed,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81571&fileTy=MEDIA&fileNo=1&thumbTy=M,Yongwangsan Skywalk,"A place where you can view the city center and the Han River at a glance while walking above the forest.
",Cp3b3j9,en,"43 Yongwangjeong-gil, Yangcheon-gu, Seoul","43 Yongwangjeong-gil, Yangcheon-gu, Seoul"
자연관광,en,ENP3pm9nc,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81563&fileTy=MEDIA&fileNo=1&thumbTy=M,Bukhansan Experiential Forest Shelter,"A local attraction representing Gangbuk-gu, created as a recreation and healing space in the city.
",Cp3b3j9,en,"San 123-11 Suyu-dong, Gangbuk-gu, Seoul","San 123-11 Suyu-dong, Gangbuk-gu, Seoul"
자연관광,en,ENPtr2tsi,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80200&fileTy=MEDIA&fileNo=1&thumbTy=M,Seodalsan Mountain,"A mountain embracing the National Cemetery, recommended as a beginner's hiking course.
",Cu5u8d4,en,"Sangdo-dong, Dongjak-gu, Seoul","Sangdo-dong, Dongjak-gu, Seoul"
자연관광,en,ENPyia5so,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=79082&fileTy=MEDIA&fileNo=1&thumbTy=M,Yeonhui Forest Rest Area,"A rest area located in Seodaemun-gu where you can feel the beauty of nature in the city center.
",Cp3b3j9,en,"Yeonhui-dong, Seodaemun-gu, Seoul","Yeonhui-dong, Seodaemun-gu, Seoul"
자연관광,en,ENP0aa7qh,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=77445&fileTy=MEDIA&fileNo=1&thumbTy=M,Songjeong Jebang gil,"A riverside trail along Jungnangcheon that is beautiful in all four seasons
",Cw8j0y7,en,"73 448 Songjeong dong, Seongdong gu, Seoul","73 448 Songjeong dong, Seongdong gu, Seoul"
자연관광,en,ENP5nlj26,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=77247&fileTy=MEDIA&fileNo=1&thumbTy=M,Namsan Sky Forest Trail,"A walking trail where visitors can enjoy the freshness of Namsan under the clear sky.
",Co6c2n2,en,"Sowol Garden next to Namsan Library, 109 Sowol Road, Yongsan-gu, Seoul","Sowol Garden next to Namsan Library, 109 Sowol Road, Yongsan-gu, Seoul"
자연관광,en,ENPda1e2c,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74596&fileTy=MEDIA&fileNo=1&thumbTy=M,Suraksan Byeokung Valley,"A valley near Seoul accessible by subway
",Cw8j0y7,en,"Sanggye-dong, Nowon-gu, Seoul","Sanggye-dong, Nowon-gu, Seoul"
자연관광,en,ENPctphmy,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74191&fileTy=MEDIA&fileNo=1&thumbTy=M,Yongsan Children's Garden,Yongsan Children's Garden temporarily opened on the returned Yongsan Park site,Cp3b3j9,en,"21 Hangang-daero 38-gil, Yongsan-gu, Seoul","21 Hangang-daero 38-gil, Yongsan-gu, Seoul"
자연관광,en,ENP9l9dhu,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74029&fileTy=MEDIA&fileNo=1&thumbTy=M,Choansan Neighborhood Park Barefoot Loess Trail,"A healing space to enhance the well-being of city residents weary from daily life
",Cp3b3j9,en,"677, Chang-dong, Dobong-gu, Seoul","677, Chang-dong, Dobong-gu, Seoul"
자연관광,ja,JPPylc4hg,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81842&fileTy=MEDIA&fileNo=1&thumbTy=M,チョアンサン(楚安山)アジサイ園,約1万株の色とりどりのアジサイと散策路、生態池が調和した都市の中の生態庭園,Cp3b3j9,ja,서울 노원구 월계동 820,ソウル市ノウォン(蘆原)区ウォルゲロ45ガギル9
자연관광,ja,JPPtte3ed,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81571&fileTy=MEDIA&fileNo=1&thumbTy=M,ヨンワンサン(龍王山)スカイウォーク,森の上を歩きながら都心とハンガン(漢江)を一望できるスポット,Cp3b3j9,ja,ソウル市ヤンチョン(陽川)区ヨンワンジョンギル43,ソウル市ヤンチョン(陽川)区ヨンワンジョンギル43
자연관광,ja,JPP3pm9nc,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81563&fileTy=MEDIA&fileNo=1&thumbTy=M,プカンサン(北漢山)体験型森林憩いの場,都心の休養・癒やしの空間として整備された、カンブク(江北)区を代表するローカルスポット,Cp3b3j9,ja,ソウル市カンブク(江北)区スユドン(水踊洞)サン123-11,ソウル市カンブク(江北)区スユドン(水踊洞)サン123-11
자연관광,ja,JPPtr2tsi,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80200&fileTy=MEDIA&fileNo=1&thumbTy=M,ソダルサン(西達山),ヒョンチュンウォン(顕忠院)を抱く山で、初心者の登山コースとしておすすめ,Cu5u8d4,ja,ソウル市トンジャク(銅雀)区サンドドン(上道洞),ソウル市トンジャク(銅雀)区サンドドン(上道洞)
자연관광,ja,JPPyia5so,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=79082&fileTy=MEDIA&fileNo=1&thumbTy=M,ヨンヒ(延禧)森の憩いの場,都会の中で自然の美しさを感じられる、ソデムン(西大門)区に位置する癒やしの空間,Cp3b3j9,ja,ソウル市ソデムン(西大門)区ヨンヒドン(延禧洞),ソウル市ソデムン(西大門)区ヨンヒドン(延禧洞)
자연관광,ja,JPP0aa7qh,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=77445&fileTy=MEDIA&fileNo=1&thumbTy=M,ソンジョン(松亭)堤防道,四季折々の美しさを見せるチュンナンチョン(中浪川)沿いの散策路,Cw8j0y7,ja,ソウル市ソンドン(城東)区ソンジョンドン(松亭洞)73-448,ソウル市ソンドン(城東)区ソンジョンドン(松亭洞)73-448
자연관광,ja,JPP5nlj26,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=77247&fileTy=MEDIA&fileNo=1&thumbTy=M,ナムサン(南山)空の森の道,澄んだ空の下、ナムサン(南山)の爽やかさを感じながら歩ける散策路,Co6c2n2,ja,ソウル市ヨンサン(龍山)区ソウォルロ109 ナムサン(南山)図書館横のソウォル庭園,ソウル市ヨンサン(龍山)区ソウォルロ109 ナムサン(南山)図書館横のソウォル庭園
자연관광,ja,JPP9l9dhu,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74029&fileTy=MEDIA&fileNo=1&thumbTy=M,チョアンサン(楚安山)近隣公園裸足黄土道,都心での日常に疲れた市民の体力増進のためのヒーリング空間,Cp3b3j9,ja,ソウル市トボン(道峰)区チャンドン(倉洞)677,ソウル市トボン(道峰)区チャンドン(倉洞)677
자연관광,zh,CNPylc4hg,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81842&fileTy=MEDIA&fileNo=1&thumbTy=M,楚安山绣球花公园,约1万株色彩缤纷的绣球花，搭配散步路和生态池塘交融而成的都市生态庭院,Cp3b3j9,zh-CN,서울 노원구 월계동 820,首尔市芦原区月溪路45ga街9
자연관광,zh,CNPtte3ed,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81571&fileTy=MEDIA&fileNo=1&thumbTy=M,龙王山天空步道,漫步于林海之上，可以将市中心和汉江尽收眼底的地方,Cp3b3j9,zh-CN,首尔市阳川区龙王亭路43,首尔市阳川区龙王亭路43
